s,l,pnl,roi,pf,taken,skipped,min_cash,max_conc
200000,220000,31097908.138090666,3109.7908138090665,6.079734268754086,7659,16205,0.0,6
110000,280000,31094891.660994787,3109.4891660994786,5.854104582029143,9294,14570,0.0,11
10000,420000,31082708.717282593,3108.2708717282594,6.300805099690814,16165,7699,0.0,104
100000,360000,31078861.604528364,3107.8861604528365,5.915393362322111,9083,14781,0.0,12
90000,460000,31026891.43272495,3102.6891432724947,5.989707982340627,9019,14845,0.0,13
110000,240000,31024550.88470839,3102.4550884708387,5.851971288328626,9724,14140,17.573805538006127,11
190000,200000,31006830.18990456,3100.683018990456,5.735657389050795,8331,15533,0.0,6
180000,220000,30994444.308597084,3099.4444308597085,5.957677872190269,8040,15824,197.7981225392432,7
80000,300000,30969902.624981686,3096.9902624981687,5.945994618878961,10263,13601,0.0,15
100000,340000,30950199.596274834,3095.0199596274833,5.9429596542312355,9186,14678,0.0,12
120000,240000,30912289.218915462,3091.228921891546,5.771111736512211,9395,14469,90.01970712153707,10
70000,500000,30897668.289673932,3089.766828967393,6.094599204194615,9843,14021,0.0,19
30000,420000,30843638.187789883,3084.3638187789884,6.0289434680182445,13417,10447,20.198554398841225,39
170000,220000,30804221.53405372,3080.4221534053722,5.869408987908315,8194,15670,0.0,7
90000,360000,30801000.555325992,3080.100055532599,5.80520637676796,9506,14358,126.5858886858914,13
110000,260000,30755591.742178854,3075.5591742178854,5.798228613196543,9518,14346,0.0,11
160000,220000,30712194.350907046,3071.219435090705,5.776591380098092,8498,15366,109.5824355550576,7
90000,320000,30673145.57573939,3067.314557573939,5.847814012147558,9657,14207,0.0,13
150000,220000,30671240.097572487,3067.1240097572486,5.848064988369263,8702,15162,103.69987453718204,8
80000,280000,30650331.43630516,3065.0331436305164,5.841408182237836,10484,13380,0.0,15
70000,380000,30635378.479563806,3063.5378479563806,5.975065654023664,10346,13518,51.89621699182317,18
100000,280000,30614097.62061342,3061.4097620613416,5.839076852362073,9647,14217,0.0,12
60000,400000,30594200.905478567,3059.4200905478565,5.924608703235269,10893,12971,0.0,21
180000,200000,30584099.73086555,3058.409973086555,5.770373226453994,8380,15484,0.0,6
90000,480000,30573751.283158362,3057.3751283158363,5.868114715941981,8871,14993,42.52823068178259,14
30000,400000,30567564.236564033,3056.756423656403,6.025884392642772,13588,10276,0.0,38
80000,320000,30538733.322407007,3053.8733322407006,5.874965463330818,10090,13774,131.9250722550787,15
140000,220000,30537793.138993897,3053.7793138993898,5.795524092829343,9094,14770,0.0,9
60000,380000,30482060.07560088,3048.206007560088,5.944518618710326,11011,12853,0.0,21
20000,400000,30440176.288135767,3044.0176288135767,6.147394605412842,14881,8983,0.0,55
50000,480000,30439225.609741297,3043.9225609741297,6.091834315514596,11255,12609,0.0,25
50000,400000,30406806.44799905,3040.6806447999047,6.04322567116728,11693,12171,0.0,25
70000,300000,30385335.8013988,3038.53358013988,5.934459720090225,10778,13086,0.0,17
90000,280000,30305142.137075916,3030.5142137075914,5.821336559915846,10001,13863,0.0,14
60000,500000,30304499.262120936,3030.4499262120935,6.198986828424631,10507,13357,0.0,21
120000,220000,30198562.889895044,3019.8562889895043,5.707686921796483,9566,14298,0.0,10
60000,480000,30190904.034028973,3019.0904034028977,6.10692163988918,10566,13298,17.65553388540866,21
100000,240000,30160235.814294115,3016.0235814294115,5.7264501593147505,9979,13885,0.0,12
80000,360000,30154555.563346107,3015.4555563346107,5.835678467484451,9927,13937,0.0,15
60000,300000,30108532.23155137,3010.853223155137,5.969027644487252,11373,12491,3.437217741506174,20
170000,200000,30036012.830574233,3003.601283057423,5.697523809857982,8465,15399,0.0,7
160000,200000,30030235.91959672,3003.023591959672,5.699833263413202,8818,15046,0.0,7
40000,400000,29967302.805766508,2996.730280576651,5.885955437100328,12538,11326,0.0,30
100000,260000,29954839.87370307,2995.4839873703067,5.724533327773228,9822,14042,0.0,12
70000,360000,29945159.011797134,2994.5159011797136,5.762062764756609,10511,13353,0.0,18
90000,340000,29908344.479981605,2990.8344479981606,5.778902413804377,9552,14312,117.00118800182827,14
10000,500000,29880699.509558868,2988.0699509558867,7.2013029614799136,15660,8204,0.0,104
130000,220000,29862831.899083707,2986.283189908371,5.708725760735179,9205,14659,0.0,9
20000,500000,29810340.059822515,2981.0340059822515,6.662279799119876,14297,9567,0.0,54
10000,400000,29762564.022834674,2976.256402283467,6.215112312773167,16273,7591,0.0,104
80000,340000,29738388.865079876,2973.838886507988,5.800611153310681,10046,13818,0.0,15
140000,200000,29729976.89331549,2972.9976893315493,5.716639843425832,9289,14575,0.0,9
90000,260000,29703964.392346654,2970.3964392346656,5.701167214491403,10168,13696,0.6805037764133886,14
50000,380000,29692441.71824469,2969.244171824469,5.91750396153023,11754,12110,0.0,25
70000,320000,29689720.954331134,2968.9720954331133,5.699046247778193,10640,13224,218.29051789897494,17
