"trade_id","signal_id","signal_datetime","signal_entry_datetime_ist","entry_time","exit_time","ticker","side","setup","impulse_type","quantity","entry_price","exit_price","stop_price","target_price","outcome","pnl_rs","pnl_pct","quality_score","p_win","confidence_multiplier"
"PT-eb2a8e72-104739","eb2a8e727bbc98c2","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:39+0530","2026-03-16 11:20:12+0530","ASAL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","630","396.15","398.85","398.85","392.58","SL","-1701.0","-0.6816","0.7751","0.0","1.0"
"PT-d42379a3-110237","d42379a3720b0f5b","2026-03-16 11:00:00+05:30","2026-03-16 11:00:00+05:30","2026-03-16 11:02:37+0530","2026-03-16 11:20:58+0530","TORNTPOWER","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","174","1431.58","1441.32","1441.32","1418.7","SL","-1694.76","-0.6804","0.4793","0.0","1.0"
"PT-53177420-110308","53177420d5ef50d4","2026-03-16 11:00:00+05:30","2026-03-16 11:00:00+05:30","2026-03-16 11:03:08+0530","2026-03-16 11:26:26+0530","BPCL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","813","307.05","309.14","309.14","304.29","SL","-1699.17","-0.6807","0.6524","0.0","1.0"
"PT-9d7fe154-104709","9d7fe154bbdfc50a","2026-03-16 10:45:00+05:30","2026-03-16 10:45:00+05:30","2026-03-16 10:47:09+0530","2026-03-16 11:26:56+0530","SIEMENS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","79","3122.54","3143.77","3143.77","3094.44","SL","-1677.17","-0.6799","0.6855","0.0","1.0"
"PT-61d5c4f6-103126","61d5c4f672276c69","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:26+0530","2026-03-16 11:32:39+0530","JSL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","367","679.26","683.88","683.88","673.14","SL","-1695.54","-0.6802","0.6178","0.0","1.0"
"PT-5a17a086-103126","5a17a086952efe66","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:26+0530","2026-03-16 11:33:04+0530","JSWINFRA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1005","248.48","250.17","250.17","246.24","SL","-1698.45","-0.6801","0.6058","0.0","1.0"
"PT-c0099a95-111611","c0099a95e2ec957e","2026-03-16 11:15:00+05:30","2026-03-16 11:15:00+05:30","2026-03-16 11:16:11+0530","2026-03-16 11:43:05+0530","GRINFRA","SHORT","A_PULLBACK_C2_THEN_BREAK_C2_LOW","MODERATE","279","894.3","900.38","900.38","886.25","SL","-1696.32","-0.6799","0.4861","0.0","1.0"
"PT-5d9dfa38-103201","5d9dfa381b2d3343","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:01+0530","2026-03-16 11:53:55+0530","RALLIS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1075","232.83","234.41","234.41","230.74","SL","-1698.5","-0.6786","0.6024","0.0","1.0"
"PT-6f5aa629-110249","6f5aa629841babc7","2026-03-16 11:00:00+05:30","2026-03-16 11:00:00+05:30","2026-03-16 11:02:49+0530","2026-03-16 11:54:51+0530","AARTIDRUGS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","738","338.18","340.48","340.48","335.13","SL","-1697.4","-0.6801","0.6695","0.0","1.0"
"PT-b02ac8fc-103205","b02ac8fcbd4afd11","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:32:05+0530","2026-03-16 11:55:06+0530","ROSSARI","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","574","435.08","438.04","438.04","431.16","SL","-1699.04","-0.6803","0.6752","0.0","1.0"
"PT-0ef9b53e-110157","0ef9b53e6b78010c","2026-03-16 11:00:00+05:30","2026-03-16 11:00:00+05:30","2026-03-16 11:01:57+0530","2026-03-16 11:57:47+0530","MSUMI","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","6549","38.13","38.39","38.39","37.79","SL","-1702.74","-0.6819","0.6343","0.0","1.0"
"PT-21d2c56d-103306","21d2c56ddc96abc8","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:33:06+0530","2026-03-16 12:26:25+0530","DWARKESH","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","6862","36.33","36.58","36.58","36.0","SL","-1715.5","-0.6881","0.5951","0.0","1.0"
"PT-ba9d33de-110101","ba9d33dee3e28a6b","2026-03-16 11:00:00+05:30","2026-03-16 11:00:00+05:30","2026-03-16 11:01:01+0530","2026-03-16 12:33:15+0530","FORTIS","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","305","818.34","810.98","823.9","810.98","TARGET","2244.8","0.8994","0.6199","0.0","1.0"
"PT-7d11dd79-103121","7d11dd79ced696c6","2026-03-16 10:30:00+05:30","2026-03-16 10:30:00+05:30","2026-03-16 10:31:21+0530","2026-03-16 12:33:20+0530","IOC","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1673","149.29","147.95","150.31","147.95","TARGET","2241.82","0.8976","0.7451","0.0","1.0"
"PT-daa02836-121735","daa02836f979dae7","2026-03-16 12:15:00+05:30","2026-03-16 12:15:00+05:30","2026-03-16 12:17:35+0530","2026-03-16 12:40:07+0530","AVANTEL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1941","128.71","127.55","129.59","127.55","TARGET","2251.56","0.9013","0.8869","0.0","1.0"
"PT-2570a327-110249","2570a3273e7786de","2026-03-16 11:00:00+05:30","2026-03-16 11:00:00+05:30","2026-03-16 11:02:49+0530","2026-03-16 13:20:58+0530","ZEEL","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","3302","75.66","74.98","76.17","74.98","TARGET","2245.36","0.8988","0.9469","0.0","1.0"
"PT-95128b58-131639","95128b585f44ef00","2026-03-16 13:15:00+05:30","2026-03-16 13:15:00+05:30","2026-03-16 13:16:39+0530","2026-03-16 13:25:19+0530","NAZARA","SHORT","A_MOD_BREAK_C1_LOW","MODERATE","1131","220.94","222.44","222.44","218.95","SL","-1696.5","-0.6789","0.61","0.0","1.0"
